MATERIAL,Repellent_cloth_YF,Repellent_skin_YF,Repellent_wash_YF,Repellent_space_YF
"Acetaldehyde, isobutyl Ï-methoxybenzyl acetal (crude)",1,-,-,6
"Acetaldehyde, isobutyl 3-methoxybutyl acetal (crude)",1,-,-,7
"Acetaldehyde, isobutyl m-methylbenzyl acetal (crude)",1,-,-,-
"Acetaldehyde, isobutyl l-methylheptyl acetal (crude)",1,-,-,6
"Acetaldehyde, isobutyl 2-methyl-3-[3,4-(methylenedioxyphenyl]propyl acetal",1,-,-,-
"Acetaldehyde, isobutyl phenyl acetal",1,-,-,6
"Acetaldehyde, isobutyl piperonyl acetal",1,-,-,6
"Acetaldehyde, isobutyl 6-propylpiperonyl acetal (crude)",1,-,-,6
"Acetaldehyde, isobutyl p-tolyl acetal",2,-,-,-
"Acetaldehyde, isopropyl phenethyl acetal",1,-,-,-
"Acetaldehyde, 2-methoxyethyl tetrahydrofurfuryl acetal",1,-,-,-
"Acetaldehyde, (allyloxy)-, diethyl acetal",1,-,-,-
"Acetaldehyde, diphenyl-",1,-,-,-
"Acetaldehyde, phenyl-, diethyl acetal",1,-,-,-
"Acetaldehyde, (p-tolyloxy)-(50 percent in alcohol)",1,-,-,-
"Acetanide, N-allyl-",1,-,-,6
"Acetanide, 2-((2-aminopurin-6-yl)thio)-",-,-,-,-
"Acetanide, N-benzyl-",1,-,-,6
"Acetanide, N-benzyl-2-chloro-",-,-,-,-
"Acetanide, N-benzyl-2,2-dichloro-",1,-,-,-
"Acetanide, 2-(benzyloxy)-N,N-dipropyl-",1,-,-,4
"Acetanide, N,N-bis(2-ethylhexyl)-",1,-,-,6
"Acetanide, N-tert-butyl-",1,-,-,6
"Acetanide, N-tert-butyl-, bimolecular complex with hydriodic acid and iodine",1,-,-,1
"Acetanide, N-butyl-2-chloro-",2,-,-,2
"Acetanide, N-sec-butyl-2-chloro-",1,-,-,1
"Acetanide, N-tert-butyl-2-chloro-",1,-,-,1
"Acetanide, N-butyl-N-cyclohexyl-",4,-,1,2
"Acetanide, N-butyl-2,2-dichloro-",5,-,1,-
"Acetanide, N-sec-butyl-2,2-dichloro-",2,-,-,-
"Acetanide, 2-chloro-N-cyclohexyl-",1,-,-,1
"Acetanide, 2-chloro-N,N-dicyclohexyl-",1,-,-,1
"Acetanide, 2-chloro-N,N-diethyl-",1,-,-,2
"Acetanide, 2-chloro-N,N-diisobutyl-",1,-,-,1
"Acetanide, 2-chloro-N,N-diisopropyl-",1,-,-,1
"Acetanide, 2-chloro-N,N-dioctyl-",1,-,-,1
"Acetanide, 2-chloro-N,N-dipentyl-",1,-,-,2
"Acetanide, 2-chloro-N,N-dipropyl-",2,-,-,1
"Acetanide, 2-chloro-N-heptyl-",1,-,-,1
"Acetanide, 2-chloro-N-hexyl-",3,-,-,1
"Acetanide, 2-chloro-N-isobutyl-",2,-,-,1
"Acetanide, 2-chloro-N-(3-isopropoxypropyl)-",2,-,-,1
"Acetanide, 2-chloro-N-isopropyl-",1,-,-,1
"Acetanide, 2-chloro-N-(3-methoxypropyl)-",1,-,-,1
"Acetanide, 2-chloro-N-(Î±-methylbenzyl)-",1,-,-,1
"Acetanide, 2-chloro-N-1-naphthyl-",-,-,-,1
"Acetanide, 2-chloro-N-2-naphthyl-",-,-,-,1
"Acetanide, 2-chloro-N-octyl-",1,-,-,1
"Acetanide, 2-chloro-N-pentyl-",2,-,-,1
"Acetanide, 2-chloro-N-phenethyl-",1,-,-,1
"Acetanide, 2-chloro-N-propyl-",1,-,-,1
"Acetanide, N-(cyanoamidinio)-",-,-,-,1
"Acetanide, N-cyclohexyl-",1,-,-,6
"Acetanide, N-(2-cyclohexylcyclohexyl)-",1,-,-,6
"Acetanide, 2-(cyclohexyloxy)-N,N-dipropyl-",2,-,-,7
"Acetanide, N,N-dibenzyl-2-chloro-",1,-,-,3
"Acetanide, N,N-dibenzyl-2,2-dichloro-",1,-,-,1
"Acetanide, N,N-dibutyl-2-chloro-",1,-,-,1
"Acetanide, N,N-dibutyl-2,2-dichloro-",1,-,-,2
"Acetanide, 2,2-dichloro-N,N-bis(2-chloroethyl)-",-,-,-,-
"Acetanide, 2,2-dichloro-N-cyclohexyl-",1,-,-,-
"Acetanide, 2,2-dichloro-N-(2,4-dichlorobenzyl)-N-(2-hydroxyethyl)-",-,-,-,-
