Chemical,Repellent_skin_YF,Repellent_cloth_YF,
"Carbonic acid, n-amyl alpha-carbethoxy-iso-propyl ester",2,N/A,
"Carbonic acid, 4-tert-amylcyclohexyl ethyl ester",2,1,
"Carbonic acid, benzyl ethyl ester",N/A,N/A,
"Carbonic acid, n-butyl alpha-carbo-sec-butoxymethyl ester",N/A,4,
"Carbonic acid, n-butyl alpha-carboethoxy-iso-propyl ester",N/A,N/A,
"Carbonic acid, n-butyl alpha-carbomethoxyethyl ester",N/A,N/A,
"Carbonic acid, iso-butyl alpha-carbomethoxyethyl ester",2,N/A,
"Carbonic acid, K-butyl p-chlorophenyl ester",2,2,
"Carbonic acid, carbethoxy-hexyl ethyl ester",2,3,
"Carbonic acid, 2-(3-carbethoxy) octyl ethyl ester",1,N/A,
"Carbonic acid, p-chlorophenyl n-amyl ester",2,2,
"Carbonic acid, p-chlorophenyl iso-butyl ester",N/A,1,
"Carbonic acid, o-chlorophenyl ethyl ester",2,3,
"Carbonic acid, cinnamyl ethyl ester",1,N/A,
"Carbonic acid, di-n-amyl ester",1,N/A,
"Carbonic acid, di-iso-amyl ester",1,N/A,
"Carbonic acid, dibenzyl ester",1,N/A,
"Carbonic acid, di(butoxyethyl) diflycol ester",1,N/A,
"Carbonic acid, dibutyldiflycol ester",2,3,
"Carbonic acid, 3,3'-dichlorodipropyl ester",1,N/A,
"Carbonic acid, dicyclohexyl ester",N/A,1,
"Carbonic acid, didecyl ester",1,N/A,
"Carbonic acid, didodecyl ester",1,N/A,
"Carbonic acid, diethyl ester",N/A,1,
"Carbonic acid, di-2-ethylhexyl ester",1,N/A,
"Carbonic acid, digualacol ester",N/A,1,
"Carbonic acid, dimethallyl ester",1,N/A,
"Carbonic acid, diphenyl ester",N/A,1,
"Carbonic acid, diphenyldiflycol ester",2,1,
"Carbonic acid, di-m-tolyl ester",2,N/A,
"Carbonic acid, di-p-tolyl ester",N/A,1,
"Carbonic acid, ditolyl ester (mixed meta and para)",1,N/A,
"Carbonic acid, ethallyl ethyl ester",N/A,N/A,
"Carbonic acid, ethyl p-bromophenyl ester",2,4,
"Carbonic acid, ethyl 4-tert-butyl-2-chlorophenyl ester",1,N/A,
"Carbonic acid, ethyl alpha-carboallyloxyethyl ester",1,N/A,
"Carbonic acid, ethyl alpha-carbobutyethyl ester",1,N/A,
"Carbonic acid, ethyl alpha-carboerotoxythyl ester",2,3,
"Carbonic acid, ethyl p-chloro-phenyl ester",3,N/A,
"Carbonic acid, ethyl 2,4-dichlorophenyl ester",2,1,
"Carbonic acid, ethyl methallyl ester",1,N/A,
"Carbonic acid, v-methoxybenzyl ethyl ester",1,N/A,
"Carbonic acid, methyl alpha-carbethoxy ethyl ester",1,N/A,
"Carbonic acid, methyl alpha-carbomethoxyethyl ester",1,N/A,
"Carbonic acid, 2-methyl-4-chlorophenyl ethyl ester",N/A,1,
"Carbonic acid, 4-methyl-2-chlorophenyl ethyl ester",1,N/A,
"Carbonic acid, methyl heptine ester (Folione)",1,1,
"Carbonic acid, phenethyl ethyl ester",3,N/A,
"Carbonic acid, 2-phenylcyclohexyl ethyl ester",1,N/A,
"Carbonic acid, 3-phenylpropyl ethyl ester",1,N/A,
"Carbonic acid, n-propyl alpha-carbomethoxyethyl ester",1,N/A,
"Carbonic acid, iso-propyl alpha-carbomethoxyethyl ester",2,2,
"Carbonic acid, p-tolyl amyl ester",1,N/A,
"Carbonic acid, p-tolyl butyl ester",1,N/A,
"Carbonic acid, p-tolyl iso-butyl ester",1,N/A,
"Carbonic acid, p-tolyl ethyl ester",1,N/A,
Carbon Met (chlorinated coal tar fraction),N/A,N/A,
Carbon tetrachloride,N/A,N/A,
1-(o-Carboxybenzoyl)-2-thiourea,N/A,N/A,
"2-Carboxy-5,9-dimethyldecatriene-2,4,8-oic acid",N/A,N/A,
2-(beta-Carboxyethyl)-2-ethylbutyraldehyde,N/A,3,
2-(beta-Carboxyethyl)-2-ethylhexanal,4,4,
"alpha-Carboxy-beta-methylglutaric acid, triethyl ester",1,N/A,
"2-Carboxyphenoxyacetic acid, diethyl ester",2,2,
"2-Carboxyphenoxyacetic acid, dimethyl ester",1,N/A,
"2-Carboxyphenoxyacetic acid, di-n-propyl ester",1,N/A,
N-3-Carboxypropionylmorpholine,N/A,2,
"3-Carboxypropionylmorpholine, ethyl ester",N/A,2,
N-3-Carboxypropylphthalimide,2,N/A,
"alpha-Carboxysuccinic acid, triethyl ester",2,N/A,
beta-Carboxytricarballyic acid,1,N/A,
Carmine,N/A,N/A,
Carvacrol,N/A,2,
2-Carvacroxy-2'-chlorodiethyl ether,1,N/A,
Carvacryl methyl ether,1,N/A,
Carvacrylpropiomamide,N/A,N/A,
Carvomenthol,2,1,
Carvone,2,2,
"Cascin, soluble powdered",N/A,N/A,
"Castor oil acids, butyl esters",1,N/A,
"Castor oil fatty acids, glycerol-alpha,alpha'-dimethyl ether esters",1,N/A,
"Castor oil fatty acids, glycidyl esters",1,N/A,
"Castor oil fatty acids, tetrahydrofurfuryl esters",1,N/A,
Catechol,N/A,4,
Catechol diallyl ether,2,N/A,
Cedrol,1,N/A,
Cetene dibromide,1,N/A,
Cetyl alcohol,N/A,1,
Cetyl bromide,1,N/A,
Cetyl cyanide,1,N/A,
Cetyl dimethyl ethyl ammonium bromide,N/A,N/A,
Cetyl trimethyl ammonium bromide,N/A,1,
Chaulmoogric acid,N/A,1,
"Chaulmoogric acid, ethyl ester",1,N/A,
"Chaulmoogric acid, methyl ester",1,N/A,
"Chelidonic acid, dilutyl ester",2,1,
"Chloral and diphenyl ether, condensation product",N/A,N/A,
"Chloral and beta-naphthol, condensation product",N/A,1,
Chloral hydrate,N/A,2,
Chlorenil,N/A,N/A,
Chlorinated paraffin (47% Cl.),1,N/A,
Chlorinated turpentine (approximately 43% chlorine),1,N/A,
Chlorinated turpentine (Russian SK),N/A,N/A,
3-Chloroacenaphthene,N/A,N/A,
"Chloroacetaldehyde 9,10-dihydroxy-stearic acid acetal",1,N/A,
alpha-Chloroacetamilide,N/A,2,
p-Chloroacetamilide,N/A,1,
"Chloroacetic acid, iso-amyl ester",1,N/A,
"Chloroacetic acid, 2-butoxy-ethyl ester",2,2,
"Chloroacetic acid, diethylene glycol ether ester",N/A,1,
"Chloroacetic acid, cyclohexyl ester",1,N/A,
"Chloroacetic acid, ethylene glycol diester",1,N/A,
"Chloroacetic acid, 2-ethylhexyl ester",1,N/A,
"Chloroacetic acid, isobornyl ester",2,2,
"Chloroacetic acid, loralkyl ester",1,N/A,
"Chloroacetic acid, 2-methyl-2-nitropropyl ester",4,3,
"Chloroacetic acid, oleyl ester",1,N/A,
"Chloroacetic acid, 2-phenoxyethyl ester",1,N/A,
"Chloroacetic acid, 2-(1-phenyl-ethoxy)ethyl ester",1,N/A,
"Chloroacetic acid, tetrahydrofurfuryl ester",3,4,
"Chloroacetic acid, alpha-trichloro-tert-butyl ester",1,2,
o-Chloroacetoacetanilide,N/A,1,
4-Chloro-acetonaphthene,1,N/A,
p-Chloroacetophenone,1,N/A,
p-Chloroacetophenone glycerol,2,N/A,
p-Chloroacetophenone semicarbazone,N/A,N/A,
alpha-Chloroacetoxypropionic acid,N/A,1,
2-Chloroallyl 4-cyclohexyl-phenyl ether,1,N/A,
2-Chloroallyl phenyl ether,N/A,N/A,
2-Chloroallyl 2-(x-toloxy)ethyl ether,2,N/A,
2-Chloroallyl 2-xenyl ether,1,N/A,
2-Chloroallyl l-xenyl ether,N/A,1,
"2-Chloroallyl x,x-xyl ether",1,N/A,
2-Chloro-l-tert-amyl phenol,N/A,1,
2-Chloro-5-tert-amylphenoxy-ethoxyethyl chloride,1,N/A,
2-Chloro-l-tert-amylphenyl methyl ether,1,N/A,
m-Chloroaniline,N/A,2,
5-Chloro-o-anisidine,N/A,N/A,
p-Chloroanisole,N/A,1,
2-Chloroanthraquinone,N/A,1,
o-Chlorobenzaldehyde,N/A,N/A,
m-Chlorobenzaldehyde,2,N/A,
o-Chlorobenzaldehyde oxime,N/A,1,
p-Chlorobenzaldehyde oxime,N/A,1,
2'-Chlorobenzanilide,N/A,N/A,
Chlorobenzene,N/A,N/A,
Chlorobenzene and carbon tetrachloride reaction product,N/A,1,
"Chlorobenzene and carbon tetrachloride reaction product, alcohol of",N/A,1,
"Chlorobenzene and carbon tetrachloride reaction product, chloroethyl ether",N/A,1,
p-Chlorobenzenesulfonamide,N/A,N/A,
N-Chlorobenzenesulfonamide,N/A,1,
"p-Chlorobenzenesulfonic acid, 1-o-chlorophenyl-2,2,2-trichloroethyl ester",N/A,N/A,
"p-Chlorobenzenesulfonic acid, sodium salt",N/A,N/A,
o-Chlorobenzoid acid,N/A,N/A,
p-Chlorobenzoid acid,N/A,N/A,
"x-Chlorobenzoid acid, acetoxyl ester",1,N/A,
"o-Chlorobenzoid acid, iso-amyl ester",2,N/A,
"m-Chlorobenzoid acid, iso-amyl ester",1,N/A,
"p-Chlorobenzoid acid, iso-amyl ester",2,1,
"p-Chlorobenzoid acid, benzyl ester",1,N/A,
"p-Chlorobenzoid acid, beta-bromoethyl ester",3,2,
"m-Chlorobenzoid acid, n-butyl ester",1,N/A,
"p-Chlorobenzoid acid, n-butyl ester",1,N/A,
"p-Chlorobenzoid acid, p-chlorobenzyl ester",N/A,1,
"p-Chlorobenzoid acid, beta-chloroethyl ester",2,1,
"m-Chlorobenzoid acid, ethyl ester",1,N/A,
"p-Chlorobenzoid acid, ethyl ester",N/A,2,
"4-Chlorobenzoid acid, lauryl ester",1,1,
"o-Chlorobenzoid acid, n-propyl ester",N/A,1,
"m-Chlorobenzoid acid, n-propyl ester",1,N/A,
"p-Chlorobenzoid acid, n-propyl ester",N/A,1,
p-Chlorobenzonitrile,N/A,2,
p-Chlorobenzophenone,N/A,1,
"p-Chlorobenzylacetic acid, ethyl ester",1,N/A,
"o-Chlorobenzoyl glycolic acid, ethyl ester",1,N/A,
beta-(p-Chlorobenzoyl) propionic acid,N/A,2,
"beta-(p-Chlorobenzoyl)propionic acid, allyl ester",N/A,1,
p-Chlorobenzylcyanide,1,N/A,
p-Chlorobenzylfurylcarbinol,4,N/A,
3-Chloro-4-biphenyl,N/A,N/A,
"1-Chloro-2,2-bis-(p-chlorophenyl)ethane",N/A,N/A,
2-Chloro-4-butyl-5-methyl-phenol,N/A,N/A,
alpha-Chloro-iso-butyramide,N/A,2,
beta-Chlorobutyramide,N/A,1,
"alpha-Chloro-iso-butyric acid, iso-bornyl ester",2,N/A,
"alpha-Chlorobutyric acid, tetrahydrofuryl ester",2,4,
4-Chlorobutyrophenone,3,4,
Chlorocarvaerol,N/A,4,
Chlorocarvaeryl methyl ether,N/A,N/A,
2-Chloro-2'-(4-chlorophenoxy) diethyl ether,3,N/A,
6-Chlorocoumarin,N/A,N/A,
4-Chlorocyclohexylbenzene,1,N/A,
beta-Chloro-beta'-4-cyclohexyl-phenoxy diethyl ether,1,N/A,
2-Chloro-p-cymene,1,N/A,
"2-Chloro-4,6-di-tert-amylphenol",N/A,N/A,
"2-(2-Chloro-l,6-di-tert-amyl-phenoxy)ethanol",1,N/A,
o-Chlorodiphenyl,2,N/A,
p-Chlorodiphenyl,N/A,2,
x-Chlorodiphenyl ether,1,N/A,
"2-Chloro-1,4-di-isopropyl-benzene",1,N/A,
2(2-Chloroethoxy)-2'(-4-chloro-phenoxy)diethyl ether,1,N/A,
1-(2-Chloroethoxy)-2'(-2-chloro-phenoxy)ethane,1,N/A,
1-(2-Chloroethoxy)-2'(-2-cyclo-hexylphenoxy)ethane,N/A,1,
"1-(2-Chloroethoxy)-2'(-2,4-di-chlorophenoxy)ethane",1,N/A,
"1-(2-Chloroethoxy)-2'(-4,6-di-chloro-2-toloxy)ethane",1,N/A,
1-(2-Chloroethoxy)-2'(-x-ethyl-phenoxy)ethane,1,N/A,
2'(-2-Chloroethoxy)-2'(-2-hydroxyethoxy)diethyl ether,1,N/A,
1-(2-Chloroethoxy)-2'(-2-hydroxyethoxy)ethane,1,N/A,
"beta-(beta-Chloroethoxy)pro-plonic acid, beta-chloroethyl ester",2,4,
1-(2-Chloroethoxy)-2'(-thymyl-oxy)ethane,1,N/A,
1-(2-Chloroethoxy)-2'(-4-xenoxy)ethane,N/A,1,
N-beta-Chloroethylacetamide,1,N/A,
beta-Chloroethyl benzyl ether,1,N/A,
"N-beta-Chloroethylcarbonic acid, beta-chloroethyl ester",1,N/A,
2-Chloroethyl 2-cyclohexyl-phenyl ether,1,N/A,
"beta-Chloroethyl-4,4-dichloro-benzhydryl ether",2,1,
2'(-2-Chloro-4-ethyl-phenoxy)ethanol,1,N/A,
N-beta-Chloroethyl trichloro-acetamide,N/A,4,
Chloroethyl vinyl ether,N/A,N/A,
2-Chloroethyl 2-xenyl ether,N/A,1,
2-Chloro-2^(-euzenoxydiethyl ether,1,N/A,
Chloroglyceryl isobornyl ether,2,2,
Chlorohydroquinone,N/A,3,
4^(-3-Chloro-2-hydroxybenzyl) morpholine,N/A,1,
4^(-5-Chloro-2-hydroxybenzyl) morpholine,N/A,2,
2-Chloro-5-hydroxytoluene,N/A,4,
1-Chloro-4-iodonaphthalene,N/A,1,
p-Chlorolaurophenone,N/A,2,
"Chloromaleic acid, (allyl lactate) hydrogen ester",1,N/A,
"Chloromaleic acid, di-(allyl lactate)ester",1,N/A,
"Chloromaleic acid, di-beta-chloroallyl lactate ester",1,N/A,
"Chloromaleic acid, dichloroethyl ester",1,N/A,
"Chloromaleic acid, diethyl ester",N/A,2,
o-Chloromandelic acid,N/A,1,
2-Chloro-2'-(1-(2-methallyl) phenoxy)diethyl ether,1,N/A,
p-Chloro-alpha-methoxystyrene,2,3,
Chloromethyl p-chlorophenyl sulfone (lauseto neu),N/A,1,
"2-Chloromethyl-1,3-dioxolane",N/A,1,
Chloromethyl phenyl sulfone,N/A,1,
3-Chloro-2-methylpropyl 2-xenyl ether,1,N/A,
alpha-Chloronaphthalene,3,2,
2-Chloronaphthalene,N/A,N/A,
4-Chloro-2-nitrobenzamide,N/A,N/A,
2'-Chloro-3-nitrobenzamide,N/A,1,
3'-Chloro-3-nitrobenzamide,N/A,1,
x-Chloro-o-nitrohiphenyl,1,N/A,
4-Chloro-2-nitrodiphenylamine,N/A,1,
p-Chloro-alpha-isonitroso-acetamilide,N/A,N/A,
2-Chloro-6-nitrotoluene,N/A,4,
4-Chloro-2-nitrotoluene,N/A,2,
x-Chloro-y-octylphenol,1,N/A,
4-Chloro-6-tert-octylresorcinol,1,N/A,
"p-Chlorooxanilic acid, ethyl ester",N/A,1,
beta-Chlorophenetole,N/A,1,
p-Chlorophenetole,N/A,2,
o-Chlorophenol,N/A,1,
x-Chlorophenothiozin (crude),N/A,1,
"2-Chlorophenoxyacetic acid,",1,N/A,
"o-Chlorophenoxyacetic acid, ethyl ester",1,N/A,
"4-Chlorophenoxyacetic acid, ethylene diester",N/A,1,
"2-Chlorophenoxyacetic acid, 2-hydroxyethyl ester",N/A,1,
2-Chloro-2'-phenoxydiethyl ether,2,1,
2(2-Chlorophenoxy)ethanol,N/A,4,
2-(4-Chlorophenoxy)ethanol,4,4,
N-(4-Chlorophenoxyethylcyclo-hexylenine,2,2,
2-(4-Chlorophenoxy)-2'-iododithyl ether,1,N/A,
"3-p-Chlorophenoxy-1,2-propane oxide",N/A,4,
4-(p-Chlorophenylazo)-o-cresol,N/A,1,
4-(p-Chlorophenylazo)-m-cresol,N/A,1,
p-(p-Chlorophenylazo)phenol,N/A,1,
1-(p-Chlorophenyl)-2-butanol,N/A,2,
2-(o-Chlorophenyl)-m-dioxane,N/A,2,
2-(4-Chlorophenyl)ethanol,4,3,
alpha-(l-Chlorophenyl)ethyl alcohol,N/A,2,
4-Chlorophenyl ethyl ether,1,N/A,
1-(p-Chlorophenyl)-3-ethyl-2-pentanol,N/A,1,
p-Chlorophenyl fury1 ketone,N/A,1,
1-(p-Chlorophenyl)-3-methyl-2-butanol,3,4,
5(p-Chlorophenyl)-5-methyl hydantoin,N/A,N/A,
"1-(p-Chlorophenyl)-2,4-pentane-diol (liquid form)",1,N/A,
"1-(p-Chlorophenyl)-2,4-pentane-diol (solid form)",N/A,1,
2-Chloro-o-phenylphenol,N/A,N/A,
2-Chloro-4-phenylphenol,N/A,3,
4-Chloro-o-phenylphenol,N/A,1,
x-Chloro-2-phenylphenol,N/A,1,
p-Chlorophenylphenyldichloromethane,N/A,1,
N-(o-Chlorophenyl)phthalimide,N/A,1,
N-(n-Chlorophenyl)phthalimide,N/A,1,
N-(p-Chlorophenyl)phthalimide,N/A,N/A,
"1-p-Chlorophenyl-?,2,2-tri-chloroethanol-1",1,N/A,
x-Chlorophenyl xenyl ether,N/A,1,
m-Chlorophthalamilic acid,N/A,N/A,
alpha-Chloropropionamide,N/A,2,
"Chloropropionic acid, amyl ester",1,N/A,
"Chloropropionic acid, benzyl ester",2,3,
"alpha-Chloropropionic acid, 2-butoxyethyl ester",1,N/A,
"beta-Chloropropionic acid, 2-butoxyethyl ester",2,4,
"alpha-Chloropropionic acid, tetrahydrofurfuryl ester",3,4,
"beta-Chloropropionic acid, tetrahydrofurfuryl ester",4,4,
alpha-Chloropropionoxypro-pionic acid,N/A,2,
"3-Chloropropyl 2,4-di-tert-butylphenyl ether",1,N/A,
"3-Chloropropyl 2,4,6-trichloro-phenyl ether",1,N/A,
3-Chloropropyl 2-xenyl ether,1,N/A,
Chloroquinaldine (probably 4-chloro),2,4,
alpha-Chloroquinoline,N/A,3,
4-(p-Chloro-alpha-thiotoluyl)-morpholine,N/A,2,
Chlorothymol,N/A,4,
p-Chlorothymol,N/A,2,
Chlorothymyl methyl ether,1,N/A,
"2-Chloro-4-toloxyacetic acid, ethylene diester",N/A,1,
2-Chloro-2'-(2-toloxy)diethyl ether,2,1,
alpha-Chloro-omega-trichloro-paraffin,1,N/A,
"beta1-Chloro-beta-(2,4,6-trichlorophenoxy)diethyl ether",1,N/A,
5-Chloro-2-xenyl 2-methallyl ether,1,N/A,
"4-Chloro-3,5-xylenol",N/A,4,
Cholesterol,N/A,1,
Chrysene,N/A,N/A,
Cinchonine,N/A,N/A,
cineole bysol and butyroldehyde coordination product,2,N/A,
cinnamaldeetophenone,N/A,1,
cinnamaldehyde,N/A,2,
cinnamaldehyde iso-enyl acetal,2,4,
cinnamaldehyde diethyl acetal,1,N/A,
cinnamaldehyde-4-phenyl-3-thio-semicarbazone,N/A,N/A,
cinnamaldehyde semicarbazone,N/A,N/A,
cinnamamide,N/A,N/A,
cinnammilide,N/A,N/A,
Cinnamic acid,N/A,2,
"Cinnamic acid, allyl ester",4,4,
"Cinnamic acid, 2-(4-cilyl-2-methoxy-phenoxy)ethyl ester",1,3,
"Cinnamic acid, benzyl ester",1,1,
"Cinnamic acid, bornyl ester",1,N/A,
"Cinnamic acid, n-butyl ester",2,N/A,
"Cinnamic acid, iso-butyl ester",N/A,N/A,
"Cinnamic acid, sec-butyl ester",3,4,
"Cinnamic acid, tert-butyl ester",2,N/A,
"Cinnamic acid, 2-(4-tert-butyl-phenoxy)ethyl ester",N/A,1,
"Cinnamic acid, 3-butyn-1-yl ester",N/A,1,
"Cinnamic acid, cetyl ester",1,N/A,
"Cinnamic acid, beta-chloroethyl ester",N/A,2,
"Cinnamic acid, 3-chloro-2-methylpropyl ester",1,N/A,
"Cinnamic acid, cinnamyl ester",N/A,1,
"Cinnamic acid, cyclohexyl ester",N/A,N/A,
"Cinnamic acid, 2-(2-cyclohexyl-phenoxy) ethyl ester",2,N/A,
"Cinnamic acid, 2-(diethylamino) ethyl ester",1,N/A,
"Cinnamic acid, ethyl ester",4,4,
"Cinnamic acid, 2-ethylhexyl ester",1,N/A,
"Cinnamic acid, glycol monoester",2,N/A,
"Cinnamic acid, linalyl ester",1,N/A,
"Cinnamic acid, 2-methallyl ester",4,N/A,
"Cinnamic acid, x-(2-methoxy-phenoxy)-x-propyl ester",N/A,1,
"Cinnamic acid, methyl ester",3,3,
"Cinnamic acid, mixture of methyl and propyl esters (Forerun from the transesterification of methyl cinnamate)",2,N/A,
"Cinnamic acid, beta-phenyl-ethyl ester",N/A,1,
"Cinnamic acid, propargyl ester",3,N/A,
"Cinnamic acid, n-propyl ester",3,4,
"Cinnamic acid, iso-propyl ester",4,4,
"Cinnamic acid, sodium salt",N/A,N/A,
"Cinnamic acid, tetrahydrofur-furyl ester",1,N/A,
"Cinnamic acid, 2-thenyl ester",N/A,1,
"Cinnamic acid, 2-(o-toloxy) ethyl ester",N/A,1,
Cinnamyl alcohol,2,4,
Cinnamyl chloride,N/A,1,
"2-Cinnamyl-1,3-oxathiolane",2,N/A,
"2-Styryl-4,4,6-trimethyl-dioxane-1,3",1,N/A,
"Citraconic acid, di-(allyl lactate) ester",1,N/A,
Citraconic anhydride,N/A,2,
Citral,3,2,
Citral oxime,2,4,
Citric acid,N/A,2,
"Citric acid, triallyl ester",2,1,
"Citric acid, tri-iso-amyl ester",1,N/A,
"Citric acid, tribenzyl ester",1,1,
"Citric acid, tributyl ester",1,N/A,
"Citric acid, triethyl ester",1,N/A,
"Citric acid, tri-(ethylene-glycol ethyl ether) ester",1,N/A,
"Citric acid, tri-n-hexyl ester",1,N/A,
"Citric acid, tri-n-propyl ester",4,N/A,
Citronellal,1,N/A,
"Citronellal 1,3-butylene glycol acetal",N/A,N/A,
Citronellal fraction of Java citronella oil,2,1,
Citronella1 ozime,2,4,
Citronella terpenes,2,1,
Citronellic acid,4,N/A,
Citronellol,2,1,
levo-Citronellol (from Oil Rose Geranium),1,N/A,
"Citrylidencoyanoacetic acid, ethyl ester",2,4,
"Clupandonic acid, (unsaturated C22 acids) (Neo-Fat 17)",1,N/A,
Coal tar creosote,N/A,N/A,
Coal tar fraction (Hi-Flash type),N/A,N/A,
Coconut laurin,4,4,
"Coconut oil acids, iso-butyl glycolate esters",2,4,
"Coconut oil acids, methyl esters",2,4,
"Coconut oil fatty acids, beta-chloroethyl ester",1,N/A,
"Cod liver oil acids, butyl esters",1,N/A,
"2,4,6-Collidine",N/A,2,
Copaiba balsam sequiterpenes,1,N/A,
"Copper arsenate, basic",N/A,N/A,
Copper arsenite compound of sulf-linseed oil acids (oil green),N/A,N/A,
Copper arsenite compound of sulf-peanut oil acids (oil green),N/A,N/A,
Copper arsenite compound of sulf-soybean oil acids (oil green),N/A,N/A,
Copper arsenite compound of sulf-tung oil acids (oil green),N/A,N/A,
Copper benzoyl lacto arsenite (oil green),N/A,N/A,
Copper cyanide,N/A,N/A,
Copper phenyl stearoarsenite (oil green),N/A,N/A,
Copper sulfoleoarsenite (oil green),N/A,N/A,
Cottenseed nitrile,1,N/A,
"Cottenseed oil acids, ethyl esters",1,N/A,
Coumarilic acid,N/A,N/A,
Coumarin,N/A,4,
"Coumarin-3-carboxylic acid, n-butyl ester",N/A,1,
"Coumarin-3-carboxylic acid, 2-ethylhexyl ester",N/A,1,
"Cresoate, beechwood",N/A,2,
o-Cresol,N/A,N/A,
m-Cresol,N/A,N/A,
p-Cresol,N/A,N/A,
Cresols (mixed),N/A,N/A,
"o-Cresotinic acid, iso-amyl ester",N/A,N/A,
"o-Cresotinic acid, tetrahydro-furfuryl ester",3,N/A,
omega-(p-Cresoxy)acetophenone,N/A,1,
"3-o-Cresoxy-1,2-propane oxide",N/A,4,
"1-o-Cresoxypropylenechlorohydrin-2,3",3,N/A,
p-Cresyl methyl ether,1,N/A,
"Crotonaldehyde 2-benzoyl-2-methyl-1,3-propanediol acetal",N/A,2,
Crotonaldehyde dioctyl mercaptal,1,N/A,
"Crotonaldehyde 2-ethyl-2-butyl-1,3-propanediol acetal",2,4,
"Crotonaldehyde 2-nitro-2-ethyl-1,3-propanediol acetal",4,4,
"Crotonaldehyde 2-nitro-2-methyl-1,3-propanediol acetal",4,4,
Crotonaldehyde oxime,N/A,2,
Crotonaldehyde semicarbazone,N/A,N/A,
Crotonic acid,N/A,4,
"Crotonic acid, n-aryl ester",1,N/A,
"Crotonic acid, act.prim. amyl ester",1,N/A,
"Crotonic acid, benzyl ester",2,2,
"Crotonic acid, iso-butyl ester",1,N/A,
"Crotonic acid, citronellyl ester",1,N/A,
"Crotonic acid, cyclohexyl ester",1,N/A,
"Crotonic acid, ethyl ester",1,N/A,
"Crotonic acid, geranyl ester",1,N/A,
"Crotonic acid, n-hexyl ester",2,N/A,
"Crotonic acid, beta-methoxy-alpha-phenylethyl ester",2,4,
"Crotonic acid, methyl ester",1,1,
"Crotonic acid, 2-methyl-1,3-trimethylene glycol diester",1,N/A,
"Crotonic acid, n-octyl ester",N/A,1,
"Crotonic acid, pentandiol-1,5 diester",1,N/A,
"Crotonic acid, phenethyl ester",2,4,
"Crotonic acid, 2-phenoxyethyl ester",1,N/A,
"Crotonic acid, 3-phenylpropyl ester",1,N/A,
"Crotonic acid, 1,3-propanediol diester",2,4,
"Crotonic acid, beta-propoxy-alpha-phenylethyl ester",1,N/A,
"Crotonic acid, n-propyl ester",N/A,1,
"Crotonic acid, 2-(2-xenoxy) ethyl ester",1,N/A,
"Crotonic acid, (2-xenoxy)-x-propyl ester",1,N/A,
alpha-Crotonoxyacetophenone,N/A,1,
Crude light solvent,N/A,N/A,
Crystox(condensation product of two molecules of isophorone),N/A,1,
Cube resins 20%,N/A,1,
Culicide Oil B. (Mixture of methyl and polymethylnapthalenes),N/A,N/A,
Cumene (iso-Propylbenzene),1,N/A,
"Cumic acid, beta-butoxyethyl ester",1,N/A,
"Cumic acid, methyl ester",3,2,
"Cumic acid, methylcyclohexyl ester",1,N/A,
Cumidine,3,2,
Cupric arsonite,N/A,N/A,
Cuprous dinicotine thiocyanate,N/A,N/A,
"iso-Cyanic acid, o-biphenyl ester",1,N/A,
"iso-cyanic acid, beta-naphthyl ester",N/A,N/A,
"alpha-Cyanoacetic acid, benzyl ester",2,4,
"Cyanoacetic acid, butyl diethylene glycol ether ester",1,N/A,
"Cyanoacetic acid, cinnamyl ester",N/A,1,
"alpha-Cyanoacetic acid, cyclohexyl ester",4,4,
"alpha-Cyanoacetic acid, 2-ethoxyethyl ester",2,2,
"Cyanoacetic acid, 2-ethylhexyl ester",1,N/A,
"Cyanoacetic acid, 4-furfuryl-idene diester",N/A,1,
"Cyanoacetic acid, n-hexyl ester",1,N/A,
"Cyanoacetic acid, methyl ester",1,N/A,
"Cyanoacetic acid, 2-methyl-cyclohexyl ester",2,N/A,
"Cyanoacetic acid, 3-methyl-cyclohexyl ester",4,4,
"Cyanoacetic acid, 4-methyl-cyclohexyl ester",4,4,
"Cyanoacetic acid, beta-phenoxy-ethyl ester",N/A,1,
o-Cyanobenzamide,N/A,N/A,
"alpha-Cyanobutyric acid, cyclohexyl ester",2,4,
"alpha-Cyanobutyric acid, o-methylcyclohexyl ester",1,N/A,
"alpha-Cyanobutyric acid, m-methylcyclohexyl ester",1,N/A,
"alpha-Cyanobutyric acid, p-methylcyclohexyl ester",1,N/A,
"alpha-Cyano-alpha'-carbethoxy-beta-phenylglutamic acid, diethyl ester",1,N/A,
"Cyanocyclohexenylacetic acid, ethyl ester",3,N/A,
"4-Cyano-2,4-dihydro-2-(o-hydroxy-phenyl)-3-phenyl-1,3-benzisoxazine",N/A,2,
"alpha-Cyano-beta,beta-dimethyl-gamma-acetylbutyric acid, allyl ester",2,4,
"alpha-Cyano-beta,beta-dimethyl-gamma-acetylbutyric acid, ethyl ester",1,N/A,
"alpha-Cyano-beta,beta-dimethyl-gamma-acetylbutyric acid, beta-methoxyethyl ester",1,N/A,
"alpha-Cyano-beta,beta-dimethyl-gamma-acetylbutyric acid, methyl ester",2,4,
"alpha-Cyano-alpha,beta-dimethyl succinic acid, diethyl ester",1,N/A,
"3-Cyano-1,4-endomethylenecyclo-hexene-5",1,N/A,
